,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
682,4000,HOUSE,HOUSE,139000.0,FOR_SALE,BUY_REGULAR,,90.0,0.0,SEMI_EQUIPPED,0,0,1,15.0,1,75,183,2.0,0,GOOD
683,4500,HOUSE,HOUSE,139000.0,FOR_SALE,BUY_REGULAR,,65.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,35,2.0,0,GOOD
684,6182,HOUSE,HOUSE,139000.0,FOR_SALE,BUY_REGULAR,,95.0,0.0,INSTALLED,0,0,1,15.0,1,450,593,3.0,0,GOOD
685,6600,HOUSE,HOUSE,145000.0,FOR_SALE,BUY_REGULAR,,,0.0,SEMI_EQUIPPED,0,0,0,,1,0,1761,4.0,0,GOOD
686,4500,HOUSE,HOUSE,149000.0,FOR_SALE,BUY_REGULAR,,95.0,0.0,SEMI_EQUIPPED,0,0,1,15.0,1,200,380,3.0,0,TO_BE_DONE_UP
687,8370,HOUSE,HOUSE,150000.0,FOR_SALE,BUY_REGULAR,,75.0,0.0,INSTALLED,1,0,1,30.0,0,0,61,2.0,0,TO_RENOVATE
688,4400,HOUSE,HOUSE,155000.0,FOR_SALE,BUY_REGULAR,,210.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,255,4.0,0,GOOD
689,4870,HOUSE,HOUSE,159000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,NOT_INSTALLED,0,0,1,25.0,1,100,221,4.0,0,TO_RENOVATE
690,4500,HOUSE,HOUSE,169000.0,FOR_SALE,BUY_REGULAR,,127.0,0.0,SEMI_EQUIPPED,0,0,1,15.0,0,0,85,2.0,0,GOOD
691,6010,HOUSE,HOUSE,170000.0,FOR_SALE,BUY_REGULAR,,110.0,0.0,SEMI_EQUIPPED,0,0,1,,1,800,859,3.0,0,GOOD
692,4540,HOUSE,HOUSE,175000.0,FOR_SALE,BUY_REGULAR,,101.0,0.0,SEMI_EQUIPPED,0,0,1,,1,400,483,3.0,0,GOOD
693,4577,HOUSE,HOUSE,175000.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,SEMI_EQUIPPED,0,0,1,,1,700,849,3.0,0,TO_BE_DONE_UP
694,6600,HOUSE,HOUSE,175000.0,FOR_SALE,BUY_REGULAR,,128.0,0.0,SEMI_EQUIPPED,0,0,1,,1,55,110,2.0,0,TO_BE_DONE_UP
695,6840,HOUSE,HOUSE,175000.0,FOR_SALE,BUY_REGULAR,,199.0,0.0,NOT_INSTALLED,0,0,0,,1,250,564,4.0,0,TO_RENOVATE
696,6238,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,,130.0,0.0,SEMI_EQUIPPED,0,0,1,30.0,1,1600,1217,2.0,0,GOOD
697,4500,HOUSE,HOUSE,185000.0,FOR_SALE,BUY_REGULAR,,115.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,127,2.0,0,TO_BE_DONE_UP
698,4020,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,,109.0,,,0,0,1,,1,70,141,2.0,0,JUST_RENOVATED
699,4540,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,,166.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,195,3.0,0,GOOD
700,8480,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,,164.0,0.0,INSTALLED,0,0,0,,0,0,1493,4.0,0,TO_RENOVATE
701,6600,HOUSE,HOUSE,190000.0,FOR_SALE,BUY_REGULAR,,,0.0,INSTALLED,0,0,1,,1,0,492,3.0,0,JUST_RENOVATED
702,2660,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,,104.0,,,0,0,0,,0,0,133,2.0,0,TO_BE_DONE_UP
703,6700,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,,98.0,0.0,INSTALLED,0,0,0,,0,0,0,2.0,1,TO_RENOVATE
704,3270,HOUSE,APARTMENT_BLOCK,198000.0,FOR_SALE,BUY_REGULAR,,210.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,119,3.0,0,TO_RENOVATE
705,1400,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,100.0,0.0,INSTALLED,0,0,1,10.0,0,0,65,2.0,0,JUST_RENOVATED
706,2870,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,151.0,0.0,INSTALLED,0,0,0,,1,0,150,2.0,0,TO_RENOVATE
707,4530,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,173.0,,,0,0,1,,1,270,456,3.0,0,TO_BE_DONE_UP
708,4870,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,135.0,0.0,NOT_INSTALLED,0,0,1,20.0,1,1700,1888,4.0,0,TO_RENOVATE
709,6041,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,150.0,0.0,INSTALLED,0,0,1,25.0,1,375,445,3.0,0,AS_NEW
710,6210,HOUSE,VILLA,199000.0,FOR_SALE,BUY_REGULAR,,119.0,0.0,NOT_INSTALLED,0,0,1,15.0,1,800,950,4.0,0,TO_RENOVATE
711,6250,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,175.0,0.0,INSTALLED,0,0,1,20.0,1,100,385,3.0,0,AS_NEW
712,6850,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,153.0,0.0,SEMI_EQUIPPED,0,0,0,,1,0,1640,4.0,0,TO_RENOVATE
713,6001,HOUSE,HOUSE,200000.0,FOR_SALE,BUY_REGULAR,,105.0,0.0,INSTALLED,0,0,1,10.0,1,275,228,2.0,0,AS_NEW
714,4051,HOUSE,HOUSE,210000.0,FOR_SALE,BUY_REGULAR,,110.0,0.0,HYPER_EQUIPPED,0,0,1,48.0,1,16,210,2.0,0,GOOD
715,6600,HOUSE,HOUSE,210000.0,FOR_SALE,BUY_REGULAR,,,0.0,SEMI_EQUIPPED,0,0,0,,1,0,2307,4.0,0,GOOD
716,4870,HOUSE,HOUSE,214000.0,FOR_SALE,BUY_REGULAR,,180.0,0.0,NOT_INSTALLED,0,0,1,25.0,1,40,215,3.0,0,TO_RENOVATE
717,6200,HOUSE,TOWN_HOUSE,215000.0,FOR_SALE,BUY_REGULAR,,128.0,0.0,INSTALLED,0,0,1,25.0,1,210,315,3.0,0,JUST_RENOVATED
718,4100,HOUSE,HOUSE,219000.0,FOR_SALE,BUY_REGULAR,,100.0,0.0,SEMI_EQUIPPED,0,0,1,31.0,1,0,250,2.0,0,GOOD
719,6040,HOUSE,HOUSE,219000.0,FOR_SALE,BUY_REGULAR,,210.0,0.0,USA_INSTALLED,0,0,1,20.0,1,130,210,2.0,0,AS_NEW
720,6230,HOUSE,HOUSE,219000.0,FOR_SALE,BUY_REGULAR,,135.0,0.0,INSTALLED,0,0,0,,1,150,223,2.0,0,GOOD
721,6240,HOUSE,HOUSE,219000.0,FOR_SALE,BUY_REGULAR,,190.0,0.0,INSTALLED,0,0,1,50.0,1,300,436,2.0,0,JUST_RENOVATED
722,6790,HOUSE,HOUSE,220000.0,FOR_SALE,BUY_REGULAR,,120.0,,,0,0,0,,1,0,840,4.0,0,TO_RENOVATE
723,6950,HOUSE,HOUSE,220790.0,FOR_SALE,BUY_REGULAR,,109.0,0.0,INSTALLED,0,0,1,12.0,0,0,203,3.0,0,
724,3020,HOUSE,HOUSE,225000.0,FOR_SALE,BUY_REGULAR,,101.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,60,2.0,0,TO_RENOVATE
725,6840,HOUSE,HOUSE,225000.0,FOR_SALE,BUY_REGULAR,,126.0,0.0,SEMI_EQUIPPED,0,0,1,,0,0,150,2.0,0,TO_BE_DONE_UP
726,5060,HOUSE,HOUSE,229000.0,FOR_SALE,BUY_REGULAR,,150.0,0.0,INSTALLED,0,0,1,50.0,1,650,744,3.0,0,GOOD
727,5300,HOUSE,HOUSE,229000.0,FOR_SALE,BUY_REGULAR,,90.0,0.0,INSTALLED,0,0,1,30.0,1,500,802,4.0,0,JUST_RENOVATED
728,6230,HOUSE,HOUSE,229000.0,FOR_SALE,BUY_REGULAR,,160.0,0.0,INSTALLED,0,0,1,10.0,1,400,480,2.0,0,GOOD
729,5377,HOUSE,HOUSE,230000.0,FOR_SALE,BUY_REGULAR,,134.0,0.0,SEMI_EQUIPPED,0,0,0,,0,0,794,4.0,0,TO_BE_DONE_UP
730,7500,HOUSE,HOUSE,230000.0,FOR_SALE,BUY_REGULAR,,206.0,0.0,INSTALLED,0,0,1,,0,0,367,2.0,0,GOOD
731,7640,HOUSE,HOUSE,230000.0,FOR_SALE,BUY_REGULAR,,206.0,0.0,INSTALLED,0,0,1,,0,0,367,2.0,0,GOOD
732,4000,HOUSE,HOUSE,235000.0,FOR_SALE,BUY_REGULAR,,110.0,0.0,INSTALLED,0,0,1,,1,0,379,4.0,0,TO_RENOVATE
733,4520,HOUSE,HOUSE,235000.0,FOR_SALE,BUY_REGULAR,,250.0,0.0,SEMI_EQUIPPED,0,0,1,,1,250,394,3.0,0,TO_BE_DONE_UP
734,4610,HOUSE,HOUSE,235000.0,FOR_SALE,BUY_REGULAR,,180.0,0.0,INSTALLED,0,0,1,11.0,1,150,245,2.0,0,GOOD
