,postalCode,type,subtype,price,typeSale,subtypeSale,roomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
38,1040,HOUSE,HOUSE,595000.0,FOR_SALE,BUY_REGULAR,,216.0,0,,0,0,1,14.0,1,45,157,2.0,0,TO_RENOVATE
39,1150,HOUSE,HOUSE,650000.0,FOR_SALE,BUY_REGULAR,,192.0,0,INSTALLED,0,0,1,,1,90,189,2.0,0,GOOD
40,1210,HOUSE,HOUSE,745000.0,FOR_SALE,BUY_REGULAR,,250.0,0,HYPER_EQUIPPED,0,0,1,10.0,1,50,119,2.0,0,GOOD
41,8720,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,,135.0,0,INSTALLED,0,0,0,,0,0,115,2.0,0,JUST_RENOVATED
42,1701,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,,156.0,0,NOT_INSTALLED,0,0,1,11.0,1,80,153,2.0,0,TO_BE_DONE_UP
43,9600,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,,145.0,0,HYPER_EQUIPPED,0,0,1,28.0,0,0,140,2.0,0,GOOD
44,7860,HOUSE,HOUSE,110000.0,FOR_SALE,BUY_REGULAR,,120.0,0,SEMI_EQUIPPED,0,0,0,,0,0,179,2.0,0,TO_RENOVATE
45,9404,HOUSE,HOUSE,199000.0,FOR_SALE,BUY_REGULAR,,135.0,0,SEMI_EQUIPPED,0,0,1,,0,0,361,3.0,0,TO_BE_DONE_UP
46,1700,HOUSE,HOUSE,515000.0,FOR_SALE,BUY_REGULAR,,210.0,0,NOT_INSTALLED,0,0,1,6.0,0,0,695,4.0,0,TO_RENOVATE
47,1420,HOUSE,VILLA,1125000.0,FOR_SALE,BUY_REGULAR,,461.0,0,HYPER_EQUIPPED,0,0,1,45.0,1,2974,3240,4.0,0,GOOD
48,5300,HOUSE,VILLA,270000.0,FOR_SALE,BUY_REGULAR,,147.0,0,USA_SEMI_EQUIPPED,0,0,1,10.0,1,700,852,4.0,0,TO_BE_DONE_UP
49,4570,HOUSE,HOUSE,309000.0,FOR_SALE,BUY_REGULAR,,250.0,0,SEMI_EQUIPPED,0,1,1,300.0,1,750,1700,4.0,0,GOOD
50,1082,HOUSE,MANSION,360000.0,FOR_SALE,BUY_REGULAR,,147.0,0,NOT_INSTALLED,0,0,1,10.0,1,70,150,2.0,0,TO_RENOVATE
51,1000,HOUSE,HOUSE,787500.0,FOR_SALE,BUY_REGULAR,,409.0,0,,0,1,0,,0,0,573,3.0,0,TO_RENOVATE
52,1150,HOUSE,HOUSE,825000.0,FOR_SALE,BUY_REGULAR,,222.0,0,HYPER_EQUIPPED,0,0,1,20.0,0,0,555,4.0,0,TO_RENOVATE
53,9600,HOUSE,MANSION,128000.0,FOR_SALE,BUY_REGULAR,,152.0,0,SEMI_EQUIPPED,0,0,0,,0,0,80,2.0,0,TO_RENOVATE
54,1702,HOUSE,HOUSE,459000.0,FOR_SALE,BUY_REGULAR,,204.0,0,INSTALLED,0,0,1,,0,0,592,3.0,0,GOOD
55,2800,HOUSE,HOUSE,875000.0,FOR_SALE,BUY_REGULAR,,259.0,0,HYPER_EQUIPPED,0,0,1,40.0,0,0,98,2.0,0,AS_NEW
56,1880,HOUSE,APARTMENT_BLOCK,995000.0,FOR_SALE,BUY_REGULAR,,472.0,0,SEMI_EQUIPPED,0,1,1,72.0,0,0,427,3.0,0,GOOD
57,4520,HOUSE,HOUSE,380000.0,FOR_SALE,BUY_REGULAR,,255.0,0,HYPER_EQUIPPED,0,0,1,20.0,1,200,365,3.0,0,AS_NEW
58,6760,HOUSE,HOUSE,325000.0,FOR_SALE,BUY_REGULAR,,141.0,0,INSTALLED,0,0,1,,0,0,226,2.0,0,AS_NEW
59,1742,HOUSE,MIXED_USE_BUILDING,970000.0,FOR_SALE,BUY_REGULAR,,437.0,0,USA_INSTALLED,0,0,1,100.0,1,1560,1900,4.0,0,AS_NEW
60,1742,HOUSE,MIXED_USE_BUILDING,970000.0,FOR_SALE,BUY_REGULAR,,437.0,0,USA_INSTALLED,0,0,1,100.0,1,1560,1900,4.0,0,AS_NEW
61,6870,HOUSE,MIXED_USE_BUILDING,89000.0,FOR_SALE,BUY_REGULAR,,180.0,0,NOT_INSTALLED,0,0,0,,0,0,96,2.0,0,TO_RENOVATE
62,1020,HOUSE,HOUSE,539000.0,FOR_SALE,BUY_REGULAR,,390.0,0,INSTALLED,1,0,1,30.0,1,346,386,2.0,0,TO_RENOVATE
63,1150,HOUSE,HOUSE,1260000.0,FOR_SALE,BUY_REGULAR,,220.0,0,NOT_INSTALLED,0,0,1,22.0,1,200,325,3.0,0,AS_NEW
64,4480,HOUSE,HOUSE,180000.0,FOR_SALE,BUY_REGULAR,,140.0,0,INSTALLED,0,0,1,,1,0,204,2.0,0,GOOD
65,4500,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,,100.0,0,SEMI_EQUIPPED,0,0,0,,1,0,489,4.0,0,AS_NEW
66,4500,HOUSE,BUNGALOW,195000.0,FOR_SALE,BUY_REGULAR,,100.0,0,SEMI_EQUIPPED,0,0,0,,1,0,489,4.0,0,AS_NEW
67,8790,HOUSE,HOUSE,289000.0,FOR_SALE,BUY_REGULAR,,120.0,0,INSTALLED,0,0,1,,0,0,311,3.0,0,GOOD
68,1700,HOUSE,HOUSE,299000.0,FOR_SALE,BUY_REGULAR,,190.0,0,USA_SEMI_EQUIPPED,0,0,1,,0,0,169,2.0,0,TO_BE_DONE_UP
69,1160,HOUSE,HOUSE,350000.0,FOR_SALE,BUY_REGULAR,,104.0,0,NOT_INSTALLED,0,0,0,,0,0,55,2.0,0,TO_RENOVATE
70,1540,HOUSE,HOUSE,449000.0,FOR_SALE,BUY_REGULAR,,461.0,0,SEMI_EQUIPPED,0,0,1,,0,0,861,3.0,0,GOOD
